Agglomeration_ID,agglosName,x,y,Pop2015,ISO3,Region,Between,degree
668,al-Hala,32.6095127,25.2553252,32018,EGY,North,429461.3128,2
3782,Hay al-Walad Mad,32.5184203,15.2447606,32004,SDN,North,383199.0611,1
4904,Kisundi,13.0337497,-5.5646387,32000,COD,Central,92789.36199,2
7572,Rujewa,34.3750696,-8.7694747,31985,TZA,East,115812.6126,2
4251,Kabchi,5.4021124,10.1867991,31962,NGA,West,306840.8303,2
3937,Igbodo,6.3801025,6.3043001,31936,NGA,West,371232.1905,2
1705,Bassar,0.7794204,9.2617059,31926,TGO,West,23321.05239,2
4868,Kipamba,26.4276284,-8.1984741,31900,COD,Central,103375.0201,2
6758,Nikki,3.2090887,9.9342094,31891,BEN,West,31154.95933,3
3085,Elmina,-1.3222961,5.0974229,31884,GHA,West,1503468.804,2
4795,Kidal,1.4051773,18.4368358,31820,MLI,West,648.511083,1
5897,Mechra Bel Ksiri,-5.9623124,34.5676466,31808,MAR,North,512748.4349,2
6747,Niangoloko,-4.8964866,10.2954083,31791,BFA,West,85829.40633,2
7896,Shabshir al-Hissa,31.0638898,30.8503347,31790,EGY,North,911689.6923,1
8453,Tera,0.7626615,14.0072387,31768,NER,West,5942.631778,2
3594,Gourcy,-2.3505874,13.1601978,31768,BFA,West,121258.5927,2
8939,Wamba,8.5528377,8.9359592,31757,NGA,West,169669.1704,2
8055,Sidi Chami,-0.5227756,35.6446613,31714,DZA,North,356646.5441,1
7962,Shelleng,11.9557664,9.8932213,31714,NGA,West,677591.9994,2
903,al-Nuzul,31.6348071,31.2044767,31709,EGY,North,958549.252,2
7410,Qarun,30.3979844,29.447009,31685,EGY,North,267196.7024,2
4516,Kankia,7.8426222,12.5486139,31672,NGA,West,47646.84005,3
2934,Dzodze,0.99404,6.2336733,31659,GHA,West,102467.9503,2
1456,Badawi,31.4640626,31.1795258,31656,EGY,North,1549208.282,2
179,Adi Gudom,39.5141663,13.2294036,31641,ETH,East,169929.5214,2
7891,Shabas al-Shuhada,30.6957068,31.0708439,31586,EGY,North,2320190.501,2
2757,Dinokana,25.9433791,-25.5003222,31584,ZAF,South,360.3038693,1
4060,Inchanga,30.6617119,-29.7425432,31541,ZAF,South,5850243.906,3
2434,Chintheche UA,34.1758321,-11.8220823,31540,MWI,East,64836.13921,2
1147,Amarit,31.6655488,30.471938,31532,EGY,North,675980.0285,1
7412,Qasr al-Basil,30.8247671,29.0955211,31519,EGY,North,288578.9888,2
5356,Luebo,21.4246786,-5.358277,31500,COD,Central,23237.19371,2
4594,Kasanza,23.6503525,-6.4913012,31500,COD,Central,501772.3945,2
2117,Boukadir,1.1453515,36.0576298,31485,DZA,North,3434902.806,3
5783,Matala Hemibecho,37.7107388,7.0604543,31475,ETH,East,210226.01,2
7129,Osi,5.1954697,8.0905161,31472,NGA,West,746667.6676,2
4687,Kedougou,-12.1751003,12.5650868,31462,SEN,West,44448.85963,2
441,al-Abbasiyya,32.9401655,24.4263545,31459,EGY,North,1765555.846,2
4976,Kondoa Mjini,35.788531,-4.9071662,31436,TZA,East,14579.93789,2
7467,Ramotswa,25.7939736,-24.8580555,31405,BWA,South,236244.4608,2
7344,Po,-1.1340775,11.2478238,31387,BFA,West,58268.28367,2
1342,Assilah,-6.0300267,35.469241,31379,MAR,North,521433.2149,2
8860,Vila de Murrupula,38.6803159,-15.467715,31372,MOZ,East,18158.5443,1
8361,Tanglang,11.163995,9.8083263,31356,NGA,West,189383.97,2
5953,Meqheleng,27.865031,-28.8853643,31339,ZAF,South,188624.2648,3
6646,Nedroma,-1.7526721,35.0132828,31323,DZA,North,211938.4984,2
3901,Ifangni/Idi Iroko [BEN],2.7318988,6.6393689,31322,NGA,West,277474.7318,2
9163,Zighoud Youcef,6.7133294,36.5284161,31320,DZA,North,503287.6207,2
7125,Osaylat/ Alosaylat,32.8251388,15.4188363,31320,SDN,North,1631153.851,3
4301,Kafita,23.5648678,-6.6052975,31300,COD,Central,309677.6688,2
5438,Madagali,13.6325586,10.9005779,31281,NGA,West,248986.3091,2
6762,Nimule,32.0668139,3.5881124,31200,SSD,East,2174.793763,2
3961,Ijare,5.1044683,7.3358373,31200,NGA,West,102934.0939,1
6813,Nkwatia,-0.7111663,6.6097496,31188,GHA,West,175313.616,2
1188,Amoya,6.0068811,7.1852891,31161,NGA,West,403046.114,2
8727,Uliwa UA,34.2101893,-10.429419,31111,MWI,East,58673.34288,2
3833,Hout Bay,18.3560284,-34.087632,31108,ZAF,South,675329.995,1
8142,Sobe,5.7776767,6.848147,31101,NGA,West,127423.2921,2
395,Akahufu,8.3085511,6.0009099,31100,NGA,West,45616.90743,1
7488,Redcliff (Torwood),29.8131285,-19.0009432,31096,ZWE,East,637407.6313,2
6072,Mirriah,9.1962191,13.7034478,31080,NER,West,97988.23532,2
4665,Kaya,-1.0738899,13.0771138,31080,BFA,West,34013.62074,2
1071,al-Sunbat,30.7569337,29.3613919,31067,EGY,North,3512381.44,2
7496,Rehoboth,17.1024527,-23.297574,31024,NAM,South,26012.31785,2
6653,Neke Oghe/Okpogho,7.3940933,6.4401836,31000,NGA,West,4101659.83,2
3797,Hennaya,-1.3721477,34.9524876,30985,DZA,North,1505292.695,4
2823,Dogbo-Tota,1.7734313,6.7981015,30975,BEN,West,157082.2337,2
8614,Tsafe,6.9081683,11.9753207,30960,NGA,West,597698.709,2
5132,Kurikyo,8.5452572,8.5619839,30925,NGA,West,1769880.758,2
7274,Pambeguwa,8.2802112,10.6807506,30903,NGA,West,407690.1377,3
451,al-Aguzin,30.7842221,31.1831042,30888,EGY,North,3247292.395,3
7142,Otjiwarongo,16.6359109,-20.4657523,30863,NAM,South,3332.860605,3
4395,Kaga-Bandoro,19.1809951,7.0003703,30858,CAF,Central,307.4944517,1
8073,Sidi Slimane Charaa,-2.3643899,34.9010531,30835,MAR,North,1260010.735,2
1591,Bangula UA,35.1204317,-16.5719817,30830,MWI,East,59892.91119,2
1467,Bafata,-14.6569328,12.172005,30812,GNB,West,12243.74821,2
748,Alkaleri,10.3640775,10.2799402,30800,NGA,West,500901.5624,2
4647,Katima Mulilo,24.2693943,-17.4956959,30768,NAM,South,296.3245754,2
461,al-Alaqima,31.5835758,30.6629529,30767,EGY,North,4824117.457,2
7888,Sfisef,-0.2461554,35.2324286,30765,DZA,North,349793.9654,4
7120,Orodara,-4.8901947,10.9794645,30765,BFA,West,38122.82685,1
5234,Laudium,28.1090662,-25.7993099,30749,ZAF,South,1209752.989,2
1528,Balato,-9.3013309,11.536367,30700,GIN,West,77629.34616,2
6647,Nefas Mewicha,38.4728915,11.7468298,30700,ETH,East,63945.05271,2
1615,Bani Ibid,30.7960604,28.0370923,30687,EGY,North,157057.2862,1
199,Admu,30.7274481,28.2240396,30680,EGY,North,1093773.021,3
7320,Phomolong,28.4042086,-24.7013692,30679,ZAF,South,159053.1076,3
6860,Nsanje,35.2726571,-16.876282,30679,MWI,East,31589.76907,2
8333,Tambawal,4.6471292,12.4050548,30662,NGA,West,39438.88335,2
2877,Douz,9.0253796,33.4571707,30652,TUN,North,8490.390871,2
8696,Ubiane,6.2776203,7.0176758,30623,NGA,West,2728996.999,2
8864,Vila de Namapa,39.8321861,-13.7121507,30615,MOZ,East,79279.70359,2
2820,Dodola,39.1498224,6.998451,30600,ETH,East,208694.727,3
8020,Shupare,5.7456618,7.4934597,30600,NGA,West,1715839.165,2
4860,Kintanu,15.0418068,-5.1497266,30600,COD,Central,968590.5688,2
4832,Kiman al-Matana,32.4942568,25.4730163,30544,EGY,North,182967.7091,1
3792,Helao Nafidi,15.8874724,-17.4449949,30544,NAM,South,27966.86117,2
6597,Nazlat Imara,31.3898147,26.8840504,30534,EGY,North,1036474.693,1
6725,Ngurore,12.2371601,9.2897683,30525,NGA,West,833058.3803,3
4188,Jauro,11.1126098,8.4439813,30520,NGA,West,14786.38969,2
89,Abu Girg,30.8066455,28.549865,30516,EGY,North,3285821.469,3
1674,Barbar,33.9977487,17.9960876,30506,SDN,North,45840.64464,2
2803,Djidiouia,0.8304701,35.9384673,30503,DZA,North,2981153.622,3
6663,Nenwe,7.4993345,6.1167819,30500,NGA,West,386222.2777,2
1715,Bati,40.0145721,11.1931202,30415,ETH,East,86968.19084,2
6175,Moba,29.76628,-7.0398781,30400,COD,Central,247249.221,1
1257,Aqlit,32.9124588,24.5822744,30374,EGY,North,256242.9546,2
8865,Vila de Nametil,39.3362112,-15.7075634,30356,MOZ,East,25136.12056,2
5510,Mahallat Diyay,30.6998348,31.0549053,30335,EGY,North,3554371.425,4
5789,Matameye,8.4820944,13.4228806,30333,NER,West,11664.80634,2
8409,Tchamba,1.4454156,9.0139063,30324,TGO,West,39667.89185,2
5192,Ladysmith Central,29.7706959,-28.5676511,30314,ZAF,South,705316.1338,2
8274,Taghezoute,-5.4242432,31.4822094,30303,MAR,North,104223.0467,2
