"from","to","l","h","time","timeU","timeUCB","border"
"2915","1070892",2.02560222884929,"primary",3.03840334327393,61.6229576216842,61.6229576216842,0
"2915","1257419",1.56811167953194,"primary",2.35216751929791,60.9367217977082,60.9367217977082,0
"3099","1001979",0.0405748888213363,"motorway",0.0243449332928018,12.5175430826859,12.5175430826859,0
"3099","1003805",4.37605374927307,"motorway",2.62563224956384,15.118830398957,15.118830398957,0
"3099","1032596",0.154627433970332,"motorway_link",0.092776460382199,12.5859746097753,12.5859746097753,0
"7327","1004232",10.3328591695207,"motorway",6.19971550171242,32.2967140519927,32.2967140519927,0
"7327","1004870",0.45997065664988,"motorway",0.275982393989928,26.3729809442702,26.3729809442702,0
"7327","1004873",0.352736443157102,"primary",0.529104664735653,26.626103215016,26.626103215016,0
"5753","1074168",14.6801080839192,"primary",22.0201621258788,40.4864076084403,1000.48640760844,1
"5753","1084853",0.72134970909271,"primary",1.08202456363906,19.5482700462005,19.5482700462005,0
"5753","1085423",1.45349011513861,"primary",2.18023517270791,20.6464806552694,20.6464806552694,0
"5753","1142421",67.8467170746152,"primary",101.770075611923,120.236321094484,120.236321094484,0
"2079","1357245",6.97564748564593,"added",27.9025899425837,38.567902356615,38.567902356615,0
"1970","1062866",67.431453808905,"trunk",67.431453808905,89.6856918572209,89.6856918572209,0
"1970","1068379",186.971861896248,"primary",280.457792844372,302.712030892687,302.712030892687,0
"1970","1075247",7.63418800053715,"primary",11.4512820008057,33.7055200491216,33.7055200491216,0
"1970","1296430",16.8120766004205,"trunk",16.8120766004205,39.0663146487364,39.0663146487364,0
"1970","1311776",4.62680288704517,"trunk",4.62680288704517,26.8810409353611,26.8810409353611,0
"3144","1304531",3.69361033411293,"added",14.7744413364517,25.9631260968097,25.9631260968097,0
"4836","1062866",71.1361341442638,"trunk",71.1361341442638,86.7202785081856,86.7202785081856,0
"4836","1070759",227.869134970542,"primary",341.803702455812,357.387846819734,357.387846819734,0
"4836","1094482",49.8156666262246,"primary",74.7234999393369,90.3076443032587,90.3076443032587,0
"4836","1297131",63.4772282950121,"trunk",63.4772282950121,79.0613726589339,79.0613726589339,0
"4836","1299587",277.547842331405,"trunk",277.547842331405,293.131986695326,293.131986695326,0
"4836","1301778",237.009581709695,"primary",355.514372564543,371.098516928465,371.098516928465,0
"7323","1056558",33.4732096735348,"added",133.892838694139,150.00429079781,150.00429079781,0
"6313","1331878",11.9689860920589,"added",47.8759443682357,59.9862705405566,59.9862705405566,0
"3814","1306572",0.133614133983061,"trunk",0.133614133983061,13.530711663755,13.530711663755,0
"3814","1331878",5.82713273811345,"trunk",5.82713273811345,19.2242302678854,19.2242302678854,0
"8980","1084067",1.17849825504149,"primary",1.76774738256224,15.5063386090632,15.5063386090632,0
"8980","1084078",1.60694926105922,"primary",2.41042389158883,16.1490151180898,16.1490151180898,0
"8980","1084111",2.96596101444994,"primary",4.44894152167491,18.1875327481759,18.1875327481759,0
"6677","1225209",12.9285063606202,"added",51.714025442481,70.2721024501405,70.2721024501405,0
"4227","1070429",116.633148617294,"trunk",116.633148617294,128.206489631116,128.206489631116,0
"4227","4931",1.32942935046724,"trunk",1.32942935046724,19.7510467086619,19.7510467086619,0
"7798","1056979",1.34147475181001,"primary",2.01221212771501,13.202584974249,13.202584974249,0
"7798","1073458",4.74301794061521,"primary",7.11452691092281,18.3048997574568,18.3048997574568,0
"8814","1004960",4.33031700489642,"primary",6.49547550734463,22.6760537142911,22.6760537142911,0
"8814","1005195",7.21142902863664,"primary",10.817143542955,26.9977217499014,26.9977217499014,0
"8814","1073458",5.66417080777326,"primary",8.49625621165989,24.6768344186064,24.6768344186064,0
"8814","1075214",1.05159995969059,"primary",1.57739993953588,17.7579781464824,17.7579781464824,0
"8814","1076582",9.45533740360328,"primary",14.1830061054049,30.3635843123514,30.3635843123514,0
"7369","1054327",50.1904002399853,"primary",75.285600359978,87.0608569035386,87.0608569035386,0
"7369","1055868",44.0639334448956,"primary",66.0959001673434,77.871156710904,77.871156710904,0
"7369","1171240",5.79661080907892,"trunk",5.79661080907892,17.5718673526395,17.5718673526395,0
"7369","1279135",3.91668215389361,"added",15.6667286155745,27.4419851591351,27.4419851591351,0
"7369","4760",24.9232419474187,"trunk",24.9232419474187,44.1211365365501,44.1211365365501,0
"3165","1000507",4.72162333020385,"motorway",2.83297399812231,32.3566180068749,32.3566180068749,0
"3165","1000778",2.07012461279078,"motorway",1.24207476767447,30.7657187764271,30.7657187764271,0
"3165","1004077",12.8767819258623,"primary",19.3151728887935,48.8388168975461,48.8388168975461,0
"3165","1058856",20.7227076308902,"primary",31.0840614463354,60.607705455088,60.607705455088,0
"3165","1061605",13.9007308387723,"primary",20.8510962581585,50.3747402669112,50.3747402669112,0
"3165","1072001",0.513838144399137,"primary",0.770757216598706,30.2944012253513,30.2944012253513,0
"5700","1005284",4.0224780866359,"added",16.0899123465436,28.3819603632268,28.3819603632268,0
"5700","1033933",4.13704696321059,"added",16.5481878528424,28.8402358695255,28.8402358695255,0
"3115","1020263",2.38968945722157,"primary",3.58453418583236,16.2118854520323,16.2118854520323,0
"3115","1057345",7.96001270978994,"primary",11.9400190646849,24.5673703308848,24.5673703308848,0
"5837","1005312",6.08782344329504,"motorway",3.65269406597702,14.7017262005629,14.7017262005629,0
"5837","1005382",8.07249142567742,"motorway",4.84349485540645,15.8925269899923,15.8925269899923,0
"2896","5254",0.0299470099610762,"primary",0.0449205149416143,34.7850185912548,34.7850185912548,0
"2896","3162",0.0648744194737594,"primary",0.0973116292106391,37.0297230739011,37.0297230739011,0
"2896","4220",1.93819033167659,"motorway",1.16291419900595,119.996504122218,119.996504122218,0
"2896","1001249",0.0466147047449669,"motorway",0.0279688228469801,22.7469281104356,22.7469281104356,0
"2896","1001258",14.0403270656293,"primary",21.0604905984439,43.7794498860326,43.7794498860326,0
"2896","1001736",9.14856021596175,"primary",13.7228403239426,36.4417996115313,36.4417996115313,0
